package,app,category,description,downloads,price,num_ratings,rating
a2z.ChirpE,"AAPEX 2011 Mobile Compass",Business,"Welcome to the official app for AAPEX 2011, the largest annual business-to-business trade show representing the global automotive aftermarket. This app features the 2011 exhibitor list, an interactive floor plan and a complete schedule of education sessions and networking events. Use it to create an Expo Plan of your favorite exhibitors, sessions and events. If you have already created an Expo Plan at aapexshow.com you can sync with this app for a better experience onsite.","1,000 - 5,000",0,5,3
air.bftv.peekaboolite,"BabyFirst's Peekaboo Lite","Brain & Puzzle","The game of peek-a-boo has entertained babies and toddlers alike for years and years! In ???Peek-a-boo, I See You!??? our friendly character P-Boo swings, rolls, bounces, summersaults and tiptoes into the hearts of little ones. The interactive game features various objects that P-Boo hides among. Babies and toddlers must touch an object to see if that???s where he is hiding. The Peek-a-boo, I See You! game app is based on the hit TV series found on BabyFirstTV. Now your child can play along in the car, at home or anyplace else with the mobile web game. The game is designed to enhance baby???s observation skills and is sure to result in plenty of giggles and surprises. About BabyFirstTV BabyFirstTV is the nation's only TV network made just for babies, toddlers and parents. Developed by educational experts, the BabyFirstTV shows inspire a variety of developmental skills. Plus, it's completely commercial-free! Visit www.babyfirsttv.com notes: * Requires Android 2.2 and higher. * Adobe Air 2.5 platform. * Works best on 800X480 screens.","10,000 - 50,000",0,38,3.8
air.bftv.shapesLITE,"BabyFirst???s  Shapes Lite",Education,"Learn shapes with Sammy & Eve from BabyFirst???s hit TV show Hide & Seek! Friendly squirrel friends Sammy & Eve are here to help introduce your child to shapes with this fun and education app! From the hit BabyFirst series ???Hide & Seek??? ??? Sammy & Eve present common shapes and allow your baby or toddler to drag and drop them into place within the puzzle on-screen. Once all the shapes are in place, a common object is revealed! Features: - Introduces shapes - Introduces common objects - Offers easy drag & drop functionality - Explores hand-eye coordination - Tested by babies and toddlers About BabyFirst: BabyFirst is the leading TV network made just for babies, toddlers and parents. Developed by educational experts, BabyFirst shows inspire a variety of developmental skills. Plus, it's completely commercial-free! Visit www.babyfirsttv.com","1,000 - 5,000",0,3,4
air.com.aiflex.mobile.ifixit,"ifixit repair tutorials manual","Books & Reference","Something broke? Need to fix it? App with thousands of repair guides & tutorials Something broke? Need to fix it? This app has thousands of repair guides for everything from your iPhone to car to camera. Contains thousands of guides: Games Consoles: xbox 360, playstation 3, nintendo wii, game cube, nintendo 64, dreamcast, PSP, gameboy and many more. Mobile Phones: iPhone 4, iPhone 3GS, iPhone 4, iPad and phones from nokia, htc, palm, LG, Samsung etc. Computers: laptops, desktop computers, macbook, mac pro, macbook air etc.. Household devices: eg oven, fridge, toasters etc. Cars: eg Hummer, Honda, Ford etc. Publisher does not accept responsibility for guides and content pulled from ifixit API.Repairs performed at own risk. Tags: fixit, ifixit, ifixit.com, compensate for, correct, darn, debug, do up, doctor, emend, fiddle with, give a face-lift, heal, improve, make good, make up for, mend, overhaul, patch, patch up, put back together, put in order, put right, rebuild, recondition, recover, rectify, redress, reform, refresh, refurbish, rejuvenate, remedy, renew, renovate, retread, retrieve, revamp, revive, right, settle, sew, square, touch up, manual, manuals","10,000 - 50,000",0,34,3.4
air.com.bestrating.voteforvideo,"Video rating","Media & Video","Video rating APP allows you to make videos with your mobile phone, other users will be able to rate it, write their own comments or contact you in the video chat like chatroulette for more personal conversation. Also you are able to watch other users photos, rate them and contact them in the webcam chat.","10,000 - 50,000",0,44,4.2
air.com.nbcuni.usanetwork.psychvision2,"Psych Vision 2",Entertainment,"Now on Android! Watch the show. Play trivia. Get points. Unlock goodies. Now with even MORE delicious flavor for fans of USA's hit series Psych! This latest and greatest new version includes: *Trivia challenges: Watch the show. Answer the quizzes. Unlock goodies! *Exclusive content you can only get with the app. *Awesome Club Psych points: Rack up points to get great stuff. *Psych Chatter: join the conversation during the show. *Photo and video galleries Just watch new episodes of Psych, and use Psych Vision to answer trivia questions and enter special keywords: you'll open a world of exclusives like deleted scenes, behind-the-scenes videos and other goodies. And every time Club Psych members discover new content inside Psych Vision they'll get hooked up with extra points to redeem for that sweet piece of Psych merchandise they've had their eye on all season. Then share all that goodness on Psych Chatter - where you can talk to other fans during the show without leaving the app. And browse the photo and video galleries to see the latest Psych content. So don't be a rabid porcupine - download Psych Vision and keep Shawn & Gus just one tasty tap away.","10,000 - 50,000",0,16,4.1
air.com.plarium.psyfi.lite,"Psy-Fi Lite","Arcade & Action","SOS! Save humanity from mutation! Charge your teleportation gun, fuel up your spaceship, and hold on to your slushy - it???s about to get messy. ???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? YOUR MISSION: Clean up an interstellar accident that has turned half of Plant Earth into mutant freaks! It???s up to you to rescue your alien buddies and zap your way through history... and into classic arcade shooter nirvana! FEATURES: ??? 25 hilariously animated levels ??? 25 different types of mutants ??? 6 awesome weapons offer hours of mutant-blasting fun ??? 6 mind-blowing superpower abilities ??? Stunning HD visuals ??? Intuitive arcade-style gameplay HOURS OF MUTANT-ZAPPING GAMEPLAY If 25 locations spanning five different countries and eras doesn???t keep you tapping your trigger, go back and unlock a whole galaxy of achievements, bonuses, and special weapons! And with over 33 customized mutant enemies - you???ll run down your battery before you run out of bad guys! STUNNING ARCADE ANIMATION & COMIC BOOK HUMOR Lovingly detailed custom environments and fully animated (and fully twisted) characters bring together the best in classic arcade-style gameplay and a wickedly funny comic book storyline. ORIGINAL SOUNDTRACK Zapping, freezing, and hypnotizing mutants just wouldn???t be fun without a fully customized soundtrack and sound effects... AVAILABLE IN: English, French, Russian, and Spanish. SUPPORTED DEVICES: ??? Acer (Liquid, Liquid MT, Liquid E Ferrari SE, Steam) ??? Dell Venue ??? HTC (Desire, Desire HD, Desire Z, Droid Incredible, Evo 4G, Evo Shift 4G from Sprint, Incredible S, Sensation, Inspire 4G, ThunderBolt, Nexus One with Google, T-Mobile my Touch, T-Mobile G2 with Google) ??? LG (Optimus 2X, Revolution) ??? Motorola (Droid, Bravo with MOTOBLUR, Atrix, Cliq with MOTOBLUR, Bravo, DEFY with MOTOBLUR, Milestone 2, Photon 4G, PRO) ??? SAMSUNG (Nexus S, Epic 4G Android Smarphone, Galaxy S, Galaxy S2) ??? SHARP (IS03, IS05, LYNX 3D SH-03C, SH-12C) ??? Softblanc (003SH, 005SH) ??? Sony Ericsson Xperia (arc, PLAY, neo) This lite version offers 5 playable levels. If you like what you see, download the full version from the Android Market! Please contact us at mobile.apps@plarium.in.ua with any questions or support issues with this application. FOLLOW Psy-FI on Facebook and Twitter! http://www.facebook.com/groups/PSYFI/ https://twitter.com/psyfi_game","10,000 - 50,000",0,14,3.9
air.com.unitedmindset.QueueManager,"Queue Manager","Media & Video","Browse, search and manage your Netflix Queue on the go. Queue Manager is an Android Application created with Adobe's AIR Technology. With Queue Manager you can connect to your Netflix Queue and update your Netflix Queue on the go. - Easily search for titles - Organize and manage queues - Check out recommendations - Browse for titles - See titles that aren't available* - Save titles that are still in theaters for your queue* - Search and browse by your favorite actor Feedback Appreciated at goo.gl/5VLk *Only can save titles in theatres in disc form *If you make lots of queue changes it may take as much as 30 seconds to be fully updated through Netflix - all changes will be made.","100,000 - 500,000",0,3824,3.8
air.conceptgaming.keno,Keno,"Cards & Casino","Get a 30EUR bonus with Bwin via this game! Keno is bright colourful and fun, based on an online lottery style balls and numbers game. Select between 1 and 15 numbers from a range of 80 numbers. The prizes you can win, differ depending on your number of selections and stake size. The higher the stake the more you can win!","10,000 - 50,000",0,53,3.8
air.elmolaugh,"Elmo Laugh","Libraries & Demo","Not much more you can do with this one.","50,000 - 100,000",0,92,2.8
